,基础属性部分,,,,,,,,,,,,,,,
名称,NO.,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取方式
开心派,009,5,,,A,,S,,S,,S,B,,,,店
蓝宝石,018,5,,,S,,S,A,,,A,,A,,,联盟小铺
纯洁天鹅,013,5,,,S,S,,,A,,S,,A,,,设计图
北地英姿,004,5,,,S,S,,,B,,SS,S,,,,店
云端淑女,005,5,,,B,B,,,S,,SS,S,,,,店
蜜桃甜心,003,5,,A,,A,,,SS,,SS,SS,,,,店
胡萝卜美梦,021,5,,S,,,S,,A,SS,,,A,童话系,,8-支2公
月空冥,015,5,,,A,SS,,,A,,S,A,,中式古典,,缥缈/兑换
花钿妆·蕊,016,6,,,S,SS,,SS,,,A,,A,,,设计图
出尘精灵,020,5,,,SS,SS,,A,,A,,,A,,,设计图
相思迢迢,022,5,,A,,SS,,A,,,SS,A,,中式古典,,设计图
青琅,010,5,,,A,S,,S,,S,,,B,,,店
花钿妆·嫣,017,6,,S,,A,,SS,,SS,,,S,,,定016
欲望天鹅,012,6,,S,,S,,S,,S,,,A,,,进013
花香雪,014,5,,S,,SS,,S,,A,,,A,中式现代,,缥缈/兑换
权倾天下,001,5,,A,,A,,A,,S,,,C,,,vip
信鸽少女,002,5,,S,,S,,S,,S,,S,,,,店
今夕月,025,4,,A,,A,,,S,S,,,A,,,设计图
烈阳,026,3,,A,,,S,,S,A,,,B,,,店
蓝冰瞳,011,5,,S,,S,,S,,S,,B,,,,成就
星晴,027,5,,A,,,SS,,S,,A,,S,,,活动
